,SOURCE_NUMBER,CATALOG_NUMBER,EXTENSION,ASTR_INSTRUM,PHOT_INSTRUM,X_IMAGE,Y_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,ALPHA_J2000,DELTA_J2000,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,EPOCH,MAG,MAGERR,FLAGS_EXTRACTION,FLAGS_SCAMP,FLAGS_IMA,PM,PMERR,PMALPHA,PMDELTA,PMALPHAERR,PMDELTAERR
20472,6497,17,1,1,1,3686.53840275,2623.41950287,0.163449957967,0.163449957967,0.0,99.8094498656,0.177851767212,4.54874816569e-06,4.54874816569e-06,0.0,2021.48358185,-2.51120948792,0.0218095015734,0,32,0,0.118977971127,0.00821655639478,-0.0197227969766,-0.117331877351,0.00580998277292,0.00580998277292
20531,6515,19,1,1,1,3566.61650271,712.684856103,0.143531441689,0.143531441689,0.0,99.7988922919,0.180328916691,3.99673672291e-06,3.99673672291e-06,0.0,2021.48364541,-1.96414542198,0.0274040177464,0,32,0,0.130413248626,0.00649653500187,-0.0319497846067,-0.126439020038,0.00459374394268,0.00459374394268
20532,6515,18,1,1,1,3566.597751,1712.71337921,0.147890508175,0.147890508175,0.0,99.7988935474,0.180330216245,4.11745622841e-06,4.11745622841e-06,0.0,2021.48361363,-1.96058392525,0.0278598237783,0,32,0,0.130413248626,0.00649653500187,-0.0319497846067,-0.126439020038,0.00459374394268,0.00459374394268
20533,6515,17,1,1,1,4066.50269025,2712.68358106,0.138358563185,0.138358563185,0.0,99.7988948574,0.180332815231,3.85330304198e-06,3.85330304198e-06,0.0,2021.48358185,-1.99325919151,0.0271519366652,0,32,0,0.130413248626,0.00649653500187,-0.0319497846067,-0.126439020038,0.00459374394268,0.00459374394268
20640,6547,19,1,1,1,1702.43106591,881.486387458,0.0070270858705,0.0070270858705,0.0,99.8506759599,0.18501881832,3.39510421554e-07,3.39510421554e-07,0.0,2021.48364541,-3.72836732864,0.00507380627096,0,0,0,0.385163774088,0.0953918279342,0.00553501071408,-0.385123997927,0.0674522072077,0.0674522072077
20641,6547,18,1,1,1,1697.36413054,1874.48491187,0.00712738465518,0.00712738465518,0.0,99.8508163811,0.184823885552,3.4111297964e-07,3.4111297964e-07,0.0,2021.48361363,-3.72038316727,0.00508781103417,0,0,0,0.385163774088,0.0953918279342,0.00553501071408,-0.385123997927,0.0674522072077,0.0674522072077
20642,6547,17,1,1,1,2192.25722963,2867.39954346,0.00700132548809,0.00700132548809,0.0,99.8509572935,0.184627658361,3.39090746593e-07,3.39090746593e-07,0.0,2021.48358185,-3.72837471962,0.0050507709384,0,0,0,0.385163774088,0.0953918279342,0.00553501071408,-0.385123997927,0.0674522072077,0.0674522072077
23056,7217,21,1,1,1,1893.36152301,544.450870164,0.00829628389329,0.00829628389329,0.0,99.8592605909,0.253776800437,3.60927799647e-07,3.60927799647e-07,0.0,2021.48358185,-3.36975121498,0.00604115333408,0,0,0,0.152705057555,0.0758375846994,-0.123735710979,0.0894891545177,0.0536252707243,0.0536252707243
23057,7217,20,1,1,1,1406.34931532,2377.34221132,0.00841620750725,0.00841620750725,0.0,99.8588993921,0.254348704804,3.63076424037e-07,3.63076424037e-07,0.0,2021.4836772,-3.38722920418,0.00601010071114,0,0,0,0.152705057555,0.0758375846994,-0.123735710979,0.0894891545177,0.0536252707243,0.0536252707243
23058,7217,19,1,1,1,1402.29777927,3370.45024541,0.00834024511278,0.00834024511278,0.0,99.8590112875,0.254156611238,3.61716445241e-07,3.61716445241e-07,0.0,2021.48364541,-3.38469362259,0.00600083218887,0,0,0,0.152705057555,0.0758375846994,-0.123735710979,0.0894891545177,0.0536252707243,0.0536252707243
27538,8508,24,1,1,1,1164.38347122,2123.43663117,0.00892412289977,0.00892412289977,0.0,99.8656169473,0.380970099183,3.72299552964e-07,3.72299552964e-07,0.0,2021.4836772,-3.26697897911,0.0063903494738,0,64,0,0.0779952043937,0.0340736276328,-0.00208390876651,-0.0779673606157,0.0240936931223,0.0240936931223
27539,8508,23,1,1,1,1158.35233337,3117.3142771,0.00876575708389,0.00876575708389,0.0,99.8657851413,0.380799668053,3.69386413013e-07,3.69386413013e-07,0.0,2021.48364541,-3.26347565651,0.0064010177739,0,0,0,0.0779952043937,0.0340736276328,-0.00208390876651,-0.0779673606157,0.0240936931223,0.0240936931223
27540,8508,22,1,1,1,1153.26177863,4111.51429923,0.00877786707133,0.00877786707133,0.0,99.8659275617,0.38064054375,3.69609409745e-07,3.69609409745e-07,0.0,2021.48361363,-3.26467561722,0.00639284867793,0,0,0,0.0779952043937,0.0340736276328,-0.00208390876651,-0.0779673606157,0.0240936931223,0.0240936931223
