,ellipticity,fwhm_image,median_a_image,median_b_image,median_class_star,median_erra_image,median_errb_image,median_flux_iso,median_mag_iso,median_magerr_iso,pm,pmerr
32,0.216569840908,2.58428359032,1.21923780441,0.95379114151,0.592641294003,0.098263040185,0.0807113945484,252.472885132,25.1444625854,0.0645425692201,1.00461407632,0.0286465801352
33,0.16803920269,2.86570310593,1.21923780441,0.95379114151,0.592641294003,0.098263040185,0.0807113945484,252.472885132,25.1444625854,0.0645425692201,1.00461407632,0.0286465801352
34,0.188221871853,2.27780270576,1.71256256104,1.38951575756,0.986992478371,0.0110581321642,0.00979541521519,4680.83007812,21.974193573,0.00699970219284,1.28748048469,0.00194146741809
35,0.168327867985,2.16113066673,1.71256256104,1.38951575756,0.986992478371,0.0110581321642,0.00979541521519,4680.83007812,21.974193573,0.00699970219284,1.28748048469,0.00194146741809
36,0.200439155102,2.20611739159,1.71256256104,1.38951575756,0.986992478371,0.0110581321642,0.00979541521519,4680.83007812,21.974193573,0.00699970219284,1.28748048469,0.00194146741809
37,0.0780349969864,1.88990473747,1.66611027718,1.51855993271,0.98337239027,0.00652006501332,0.00617919163778,10326.9335938,21.115070343,0.00381698831916,0.360883488849,0.000738723372059
38,0.0855222940445,1.87945914268,1.66611027718,1.51855993271,0.98337239027,0.00652006501332,0.00617919163778,10326.9335938,21.115070343,0.00381698831916,0.360883488849,0.000738723372059
39,0.00289863348007,0.0761040747166,0.767763733864,0.498156577349,0.844557285309,0.186698019505,0.154921889305,47.7528533936,26.952501297,0.172546207905,0.0486618453727,0.0621911475224
40,0.425862014294,3.0024228096,0.767763733864,0.498156577349,0.844557285309,0.186698019505,0.154921889305,47.7528533936,26.952501297,0.172546207905,0.0486618453727,0.0621911475224
41,0.100824177265,2.70724415779,1.65909671783,1.52823805809,0.925847291946,0.0118751367554,0.0111292069778,4612.59375,21.9901371002,0.00729605089873,1.5924882494,0.00420527040941
42,0.0544623732567,2.55584359169,1.65909671783,1.52823805809,0.925847291946,0.0118751367554,0.0111292069778,4612.59375,21.9901371002,0.00729605089873,1.5924882494,0.00420527040941
43,0.0881478786469,2.51127004623,1.65909671783,1.52823805809,0.925847291946,0.0118751367554,0.0111292069778,4612.59375,21.9901371002,0.00729605089873,1.5924882494,0.00420527040941
44,0.145724594593,0.0,0.885079741478,0.725183725357,0.999455690384,0.0508349984884,0.0506606400013,17625.7089844,20.5346336365,0.000901202089153,2.47016597663,0.0716226741405
45,0.0781782269478,4.12050437927,0.885079741478,0.725183725357,0.999455690384,0.0508349984884,0.0506606400013,17625.7089844,20.5346336365,0.000901202089153,2.47016597663,0.0716226741405
46,0.183420479298,4.76604366302,0.885079741478,0.725183725357,0.999455690384,0.0508349984884,0.0506606400013,17625.7089844,20.5346336365,0.000901202089153,2.47016597663,0.0716226741405
47,0.00613439083099,0.697712302208,1.53113472462,0.929754495621,0.00223633600399,0.330223798752,0.310452699661,137.709030151,25.8025932312,0.118354037404,0.336757688866,0.345735739239
48,0.335618019104,9.72263717651,1.53113472462,0.929754495621,0.00223633600399,0.330223798752,0.310452699661,137.709030151,25.8025932312,0.118354037404,0.336757688866,0.345735739239
49,0.39276766777,7.1282286644,1.53113472462,0.929754495621,0.00223633600399,0.330223798752,0.310452699661,137.709030151,25.8025932312,0.118354037404,0.336757688866,0.345735739239
50,0.21208947897,43.8208656311,8.36242198944,6.61945581436,0.685042262077,0.0121851349249,0.0101528633386,241831.5625,17.6912174225,0.000651926093269,0.395383754817,0.0509215776388
51,0.134924352169,6.04753828049,8.36242198944,6.61945581436,0.685042262077,0.0121851349249,0.0101528633386,241831.5625,17.6912174225,0.000651926093269,0.395383754817,0.0509215776388
52,0.208428382874,44.6616516113,8.36242198944,6.61945581436,0.685042262077,0.0121851349249,0.0101528633386,241831.5625,17.6912174225,0.000651926093269,0.395383754817,0.0509215776388
53,0.389929354191,3.42219018936,3.21944046021,2.76056075096,0.000463542819489,0.192731231451,0.15240521729,1587.20007324,23.1484203339,0.0284651480615,0.0887721306288,0.0690158441794
54,0.192023277283,10.8771705627,3.21944046021,2.76056075096,0.000463542819489,0.192731231451,0.15240521729,1587.20007324,23.1484203339,0.0284651480615,0.0887721306288,0.0690158441794
55,0.141228377819,10.7568101883,3.21944046021,2.76056075096,0.000463542819489,0.192731231451,0.15240521729,1587.20007324,23.1484203339,0.0284651480615,0.0887721306288,0.0690158441794
0,0.276896715164,0.0,0.88200956583,0.634908914566,0.999453544617,0.00274650007486,0.00242772093043,7704.26025391,21.433172226,0.00211881753057,2.05357647693,0.00238384052304
1,0.281328439713,4.44072914124,0.88200956583,0.634908914566,0.999453544617,0.00274650007486,0.00242772093043,7704.26025391,21.433172226,0.00211881753057,2.05357647693,0.00238384052304
2,0.1465472579,0.0,0.88200956583,0.634908914566,0.999453544617,0.00274650007486,0.00242772093043,7704.26025391,21.433172226,0.00211881753057,2.05357647693,0.00238384052304
3,0.212223291397,4.65075492859,0.881671667099,0.643485367298,0.999455034733,0.00389148062095,0.00316614401527,9961.02636719,21.1542396545,0.00168068672065,1.76539625199,0.00147826354715
4,0.291937470436,0.0,0.881671667099,0.643485367298,0.999455034733,0.00389148062095,0.00316614401527,9961.02636719,21.1542396545,0.00168068672065,1.76539625199,0.00147826354715
5,0.176330506802,4.1979804039,0.881671667099,0.643485367298,0.999455034733,0.00389148062095,0.00316614401527,9961.02636719,21.1542396545,0.00168068672065,1.76539625199,0.00147826354715
6,0.823914825916,5.4269080162,1.54796385765,0.487223178148,0.303499430418,0.375639498234,0.132950752974,192.2784729,25.5121650696,0.090174138546,0.0650506668362,0.261260904376
7,0.827532052994,7.38969087601,1.54796385765,0.487223178148,0.303499430418,0.375639498234,0.132950752974,192.2784729,25.5121650696,0.090174138546,0.0650506668362,0.261260904376
8,0.42160397768,2.96866703033,1.54796385765,0.487223178148,0.303499430418,0.375639498234,0.132950752974,192.2784729,25.5121650696,0.090174138546,0.0650506668362,0.261260904376
9,0.500943422318,3.85345840454,1.54796385765,0.487223178148,0.303499430418,0.375639498234,0.132950752974,192.2784729,25.5121650696,0.090174138546,0.0650506668362,0.261260904376
10,0.117504537106,0.0,0.886940181255,0.723684132099,0.999457597733,0.0509900972247,0.0507910959423,19142.3457031,20.4450111389,0.000602828338742,1.90666605296,0.0716255076183
