,ellipticity,fwhm_image,median_a_image,median_b_image,median_class_star,median_erra_image,median_errb_image,median_flux_iso,median_mag_iso,median_magerr_iso,pm,pmerr
31,0.0941047072411,1.77330219746,1.64893758297,1.49376475811,0.995361328125,0.00636468268931,0.00624056812376,9903.3203125,21.1605472565,0.00392506318167,0.134446635024,0.00146664016376
32,0.0867584347725,1.91414701939,1.64893758297,1.49376475811,0.995361328125,0.00636468268931,0.00624056812376,9903.3203125,21.1605472565,0.00392506318167,0.134446635024,0.00146664016376
33,0.103801369667,1.82227766514,1.69009780884,1.50916087627,0.985257565975,0.00592414988205,0.00561712868512,11274.703125,21.0197372437,0.00360936392099,0.0839311455289,0.00131849860989
34,0.110318362713,1.83714962006,1.69009780884,1.50916087627,0.985257565975,0.00592414988205,0.00561712868512,11274.703125,21.0197372437,0.00360936392099,0.0839311455289,0.00131849860989
35,0.0901165604591,1.9665542841,1.69009780884,1.50916087627,0.985257565975,0.00592414988205,0.00561712868512,11274.703125,21.0197372437,0.00360936392099,0.0839311455289,0.00131849860989
36,0.107291042805,1.84769308567,1.69009780884,1.50916087627,0.985257565975,0.00592414988205,0.00561712868512,11274.703125,21.0197372437,0.00360936392099,0.0839311455289,0.00131849860989
37,0.0737341046333,1.80134415627,1.63869762421,1.48507404327,0.990014731884,0.00659679155797,0.00582419941202,9348.0078125,21.2232093811,0.00402215123177,0.322231694024,0.00156860117354
38,0.108816683292,1.93636763096,1.63869762421,1.48507404327,0.990014731884,0.00659679155797,0.00582419941202,9348.0078125,21.2232093811,0.00402215123177,0.322231694024,0.00156860117354
39,0.12383300066,1.94986760616,1.63869762421,1.48507404327,0.990014731884,0.00659679155797,0.00582419941202,9348.0078125,21.2232093811,0.00402215123177,0.322231694024,0.00156860117354
40,0.0746737718582,1.83399116993,1.63869762421,1.48507404327,0.990014731884,0.00659679155797,0.00582419941202,9348.0078125,21.2232093811,0.00402215123177,0.322231694024,0.00156860117354
41,0.0959019064903,1.7975924015,1.30703258514,1.14183425903,0.951219081879,0.0570322796702,0.0509564727545,528.864624023,24.3416385651,0.0371387526393,0.368509720425,0.0292124044562
42,0.149939119816,1.67067456245,1.30703258514,1.14183425903,0.951219081879,0.0570322796702,0.0509564727545,528.864624023,24.3416385651,0.0371387526393,0.368509720425,0.0292124044562
43,0.123311936855,1.98565161228,1.30703258514,1.14183425903,0.951219081879,0.0570322796702,0.0509564727545,528.864624023,24.3416385651,0.0371387526393,0.368509720425,0.0292124044562
44,0.133415043354,2.00551605225,1.30703258514,1.14183425903,0.951219081879,0.0570322796702,0.0509564727545,528.864624023,24.3416385651,0.0371387526393,0.368509720425,0.0292124044562
45,0.0545709133148,2.38895750046,1.18100881577,1.03563737869,0.921928286552,0.0838716924191,0.0682681426406,321.760803223,24.8811683655,0.0545168705285,0.0724446178404,0.0295725465667
46,0.20366537571,2.94469213486,1.18100881577,1.03563737869,0.921928286552,0.0838716924191,0.0682681426406,321.760803223,24.8811683655,0.0545168705285,0.0724446178404,0.0295725465667
47,0.0563894510269,1.75766503811,1.18100881577,1.03563737869,0.921928286552,0.0838716924191,0.0682681426406,321.760803223,24.8811683655,0.0545168705285,0.0724446178404,0.0295725465667
48,0.242935061455,2.87882351875,1.18100881577,1.03563737869,0.921928286552,0.0838716924191,0.0682681426406,321.760803223,24.8811683655,0.0545168705285,0.0724446178404,0.0295725465667
49,0.187397956848,2.60477852821,1.30095887184,1.1329023838,0.911215722561,0.0498366951942,0.0458632111549,583.673706055,24.2345733643,0.0356831140816,0.0254447820564,0.0164245550951
50,0.101251006126,1.7016825676,1.30095887184,1.1329023838,0.911215722561,0.0498366951942,0.0458632111549,583.673706055,24.2345733643,0.0356831140816,0.0254447820564,0.0164245550951
51,0.0629208683968,1.92354154587,1.30095887184,1.1329023838,0.911215722561,0.0498366951942,0.0458632111549,583.673706055,24.2345733643,0.0356831140816,0.0254447820564,0.0164245550951
52,0.209449768066,2.22719597816,1.39431881905,1.23742055893,0.788047790527,0.0573762096465,0.0500985234976,591.061157227,24.2209186554,0.036552567035,0.944252003613,0.0152912081343
53,0.0922787189484,2.04630804062,1.39431881905,1.23742055893,0.788047790527,0.0573762096465,0.0500985234976,591.061157227,24.2209186554,0.036552567035,0.944252003613,0.0152912081343
54,0.122639298439,2.31827664375,1.39431881905,1.23742055893,0.788047790527,0.0573762096465,0.0500985234976,591.061157227,24.2209186554,0.036552567035,0.944252003613,0.0152912081343
55,0.135111749172,1.70304191113,1.2393476963,1.05586075783,0.96407186985,0.0933767557144,0.0752617716789,313.853820801,24.9086990356,0.0579671412706,0.0848139145397,0.0220738508782
56,0.0652834773064,2.59846949577,1.2393476963,1.05586075783,0.96407186985,0.0933767557144,0.0752617716789,313.853820801,24.9086990356,0.0579671412706,0.0848139145397,0.0220738508782
57,0.180227339268,2.7427406311,1.2393476963,1.05586075783,0.96407186985,0.0933767557144,0.0752617716789,313.853820801,24.9086990356,0.0579671412706,0.0848139145397,0.0220738508782
58,0.274996101856,1.93422305584,1.2393476963,1.05586075783,0.96407186985,0.0933767557144,0.0752617716789,313.853820801,24.9086990356,0.0579671412706,0.0848139145397,0.0220738508782
59,0.295209884644,2.54809093475,0.818181037903,0.680152475834,0.760751545429,0.158268719912,0.140767201781,85.6704177856,26.317943573,0.123520724475,0.193183545052,0.0507650595528
60,0.167487204075,2.36138367653,0.818181037903,0.680152475834,0.760751545429,0.158268719912,0.140767201781,85.6704177856,26.317943573,0.123520724475,0.193183545052,0.0507650595528
61,0.16790920496,3.48855829239,0.818181037903,0.680152475834,0.760751545429,0.158268719912,0.140767201781,85.6704177856,26.317943573,0.123520724475,0.193183545052,0.0507650595528
62,0.144588530064,1.79175162315,0.818181037903,0.680152475834,0.760751545429,0.158268719912,0.140767201781,85.6704177856,26.317943573,0.123520724475,0.193183545052,0.0507650595528
63,0.110239863396,1.96705293655,1.72551500797,1.58041381836,0.983677208424,0.00623637903482,0.00568551849574,12831.4394531,20.8793106079,0.00337502500042,0.636924261797,0.00126204292037
64,0.082039296627,1.9687308073,1.72551500797,1.58041381836,0.983677208424,0.00623637903482,0.00568551849574,12831.4394531,20.8793106079,0.00337502500042,0.636924261797,0.00126204292037
