,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
182,1,8.12206061227,-21.0546482448,25-26,0.1,0.000254658574704,galaxies
185,1,8.14075125796,-21.0400906204,24-25,0.1,0.000221757756663,galaxies
189,1,8.06688822574,-21.7165269627,24-25,0.1,0.00018174291472,galaxies
191,1,8.21750276161,-21.7730400933,23-24,0.1,0.000593942240812,galaxies
192,1,8.20131598446,-20.9990599119,23-24,0.1,0.000693307607435,galaxies
193,1,8.22316269223,-21.7653280368,23-24,0.1,0.0202306751162,galaxies
197,1,8.09489197022,-21.8225320002,23-24,0.1,0.000407750543673,galaxies
203,1,8.08730372711,-21.8112253634,23-24,0.1,0.000320971390465,galaxies
204,1,8.1286394423,-21.8112154845,24-25,0.1,0.00465339981019,galaxies
205,1,8.11426250308,-21.8110628917,23-24,0.1,0.0151501987129,galaxies
206,1,8.10296406899,-21.8055263028,24-25,0.1,0.000551781791728,galaxies
207,1,8.10613977176,-21.8054461338,22-23,0.1,0.00126046256628,galaxies
210,1,8.10582952935,-21.8037038021,20-21,0.1,0.0286243334413,galaxies
211,1,8.1173290893,-21.8036799401,23-24,0.1,0.0255417749286,galaxies
214,1,8.11189702469,-21.8013093244,24-25,0.1,0.0150152584538,galaxies
217,1,8.16721973383,-21.7981675321,26-27,0.1,0.000193454034161,galaxies
220,1,8.16549944536,-21.7962480711,21-22,0.1,0.0286122150719,galaxies
221,1,8.12798735417,-21.7961842663,21-22,0.1,0.000322276406223,galaxies
222,1,8.13638681949,-21.7951575842,22-23,0.1,0.00042162250611,galaxies
223,1,8.11772725633,-21.7944796648,24-25,0.1,0.000313808151986,galaxies
224,1,8.11924947416,-21.7944856646,23-24,0.1,0.000311505718855,galaxies
228,1,8.1075396443,-21.7920868601,24-25,0.1,0.00841319747269,galaxies
231,1,8.04470321956,-21.6943573837,23-24,0.1,0.000465728226118,galaxies
233,1,8.14983950852,-21.7869661871,23-24,0.1,0.00071566895349,galaxies
234,1,8.12581487529,-21.784917772,21-22,0.1,0.0282138641924,galaxies
235,1,8.13012868629,-21.7847886881,22-23,0.1,0.0005668370286,galaxies
236,1,8.13416930785,-21.7836691156,22-23,0.1,0.000406670791563,galaxies
238,1,8.14887270187,-21.777217546,23-24,0.1,0.00136578339152,galaxies
240,1,8.14698138516,-21.7761077802,22-23,0.1,0.000450234598247,galaxies
242,1,8.17164093569,-21.766346466,24-25,0.1,0.000165279547218,galaxies
243,1,8.16856414345,-21.7625957576,23-24,0.1,0.00270845880732,galaxies
245,1,8.09184527076,-21.7913169424,20-21,0.1,0.0286085419357,galaxies
246,1,8.06651036613,-21.789181194,24-25,0.1,0.0104203587398,galaxies
247,1,8.07801385181,-21.7864057115,23-24,0.1,0.0210307911038,galaxies
248,1,8.11236632518,-21.7861389685,24-25,0.1,0.00902464333922,galaxies
249,1,8.10426426727,-21.7861059826,24-25,0.1,0.726979374886,star
250,1,8.10651243714,-21.785474841,21-22,0.1,0.985115528107,star
252,1,8.10673125171,-21.7847412038,23-24,0.1,0.00351152801886,galaxies
253,1,8.10387157898,-21.7823452931,23-24,0.1,0.976820528507,star
254,1,8.12049212705,-21.7817621526,24-25,0.1,0.000275005819276,galaxies
255,1,8.10334282897,-21.7811783772,20-21,0.1,0.0286136139184,galaxies
256,1,8.09919034818,-21.7801630286,23-24,0.1,0.0209591221064,galaxies
257,1,8.11002686193,-21.7744127356,24-25,0.1,0.000363863218809,galaxies
258,1,8.11612164203,-21.7723802584,23-24,0.1,0.000361944927135,galaxies
260,1,8.11929215123,-21.7690021567,26-27,0.1,0.342625677586,galaxies
264,1,8.06724634105,-21.7583342077,24-25,0.1,0.000157976945047,galaxies
265,1,8.17935368188,-21.7556685528,23-24,0.1,0.0118764908984,galaxies
268,1,8.04823323402,-21.7491974965,25-26,0.1,0.000977462623268,galaxies
271,1,8.02867926352,-21.1121949685,22-23,0.1,0.00229719677009,galaxies
273,1,8.00322926935,-21.1094320505,22-23,0.1,0.00271778926253,galaxies
283,1,8.06006720024,-21.0969058787,24-25,0.1,0.000279655301711,galaxies
286,1,7.98986856293,-21.0960723857,20-21,0.1,0.0280826725066,galaxies
289,1,8.08210009766,-21.0929267266,24-25,0.1,0.000131102235173,galaxies
292,1,8.07313924562,-21.0913350963,24-25,0.1,0.000163608769071,galaxies
293,1,8.08628836377,-21.0898530057,23-24,0.1,0.000935459276661,galaxies
298,1,8.07095121115,-21.7353965371,24-25,0.1,0.000293268618407,galaxies
300,1,8.06745847905,-21.7344294569,25-26,0.1,0.000112415473268,galaxies
302,1,8.06497419049,-21.7337036096,24-25,0.1,0.000223072143854,galaxies
304,1,8.08265690845,-21.7315073587,24-25,0.1,0.000218657951336,galaxies
311,1,8.26300965501,-21.7407082253,23-24,0.1,0.000551633012947,galaxies
314,1,8.08471303945,-21.7278776038,24-25,0.1,0.00338463997468,galaxies
315,1,8.09244547912,-21.7263080502,23-24,0.1,0.000288574374281,galaxies
317,1,8.10221719445,-21.7233653539,22-23,0.1,0.99962580204,star
322,1,7.9944682221,-21.090673267,18-19,0.1,0.0286344178021,galaxies
323,1,7.99962547653,-21.0901282252,23-24,0.1,0.99207264185,star
329,1,8.05039559774,-21.7176879477,22-23,0.1,0.000550497614313,galaxies
333,1,8.12947453403,-21.7140947219,24-25,0.1,0.0809930339456,galaxies
334,1,8.04954837529,-21.0677733308,24-25,0.1,0.000186091216165,galaxies
335,1,8.07244692811,-21.0676250718,22-23,0.1,0.000606051762588,galaxies
336,1,8.09346497544,-21.7126115068,23-24,0.1,0.0258634183556,galaxies
338,1,8.14217064615,-21.7119905825,22-23,0.1,0.0127648413181,galaxies
342,1,8.10363906239,-21.7107200746,24-25,0.1,0.0133701739833,galaxies
344,1,8.13859563666,-21.7100744871,23-24,0.1,0.0200191903859,galaxies
348,1,8.0618018556,-21.7086211736,23-24,0.1,0.000315497920383,galaxies
349,1,8.14315954251,-21.7081076988,21-22,0.1,0.0284922178835,galaxies
350,1,8.13817419434,-21.707646358,20-21,0.1,0.0284979064018,galaxies
352,1,8.08901147824,-21.704977873,21-22,0.1,0.00430848356336,galaxies
353,1,8.0613449448,-21.7032662601,23-24,0.1,0.00115882151294,galaxies
354,1,8.08536362389,-21.7030147199,23-24,0.1,0.0227812640369,galaxies
355,1,8.12251599134,-21.7027859743,23-24,0.1,0.0190295930952,galaxies
