,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
6,1,8.26832559212,-21.006722311,23-24,0.03,0.0214543305337,galaxies
11,1,8.28459935646,-21.0039345557,17-18,0.03,0.0286359842867,galaxies
17,1,8.27647337087,-20.9984713126,23-24,0.03,0.0239059962332,galaxies
19,1,8.29440662511,-20.9962858152,20-21,0.03,0.0286305565387,galaxies
21,1,8.29625387414,-20.9942317141,22-23,0.03,0.999907195568,star
22,1,8.27655678355,-20.9921374403,19-20,0.03,0.0286141913384,galaxies
23,1,8.30039634651,-20.9917576036,23-24,0.03,0.990167558193,star
30,1,8.21130464894,-21.7741959683,18-19,0.03,0.987796068192,star
33,1,8.20549335386,-21.7698673573,21-22,0.03,0.0284869391471,galaxies
46,1,8.19641607348,-21.7618655591,24-25,0.03,0.000471647130325,galaxies
51,1,8.27898332331,-20.9753558122,22-23,0.03,0.989229798317,star
70,1,8.22276893187,-21.7410241291,23-24,0.03,0.0149704022333,galaxies
73,1,8.23907166108,-21.7357087882,24-25,0.03,0.000280232954537,galaxies
75,1,8.26907720857,-21.7298201145,19-20,0.03,0.0286709815264,galaxies
76,1,8.27105020976,-21.729028527,20-21,0.03,0.0262948796153,galaxies
80,1,8.22343843284,-21.7276565717,20-21,0.03,0.997957766056,star
81,1,8.22677815258,-21.7275814547,23-24,0.03,0.926958501339,star
82,1,8.22562673157,-21.7259147619,22-23,0.03,0.987733900547,star
92,1,8.17454095114,-21.6901172377,22-23,0.03,0.0097867641598,galaxies
109,1,8.16377325683,-21.6671301874,22-23,0.03,0.0268664900213,galaxies
113,1,8.17730972756,-21.6638024654,23-24,0.03,0.000437355018221,galaxies
114,1,8.23873221251,-21.6633670863,22-23,0.03,0.0270003564656,galaxies
115,1,8.15670495305,-21.6628252615,23-24,0.03,0.00040122968494,galaxies
119,1,8.15811778847,-21.656350018,22-23,0.03,0.0268450174481,galaxies
123,1,8.20159106971,-21.6519976846,23-24,0.03,0.0141183650121,galaxies
132,1,8.20887587063,-21.6443255704,23-24,0.03,0.936225652695,star
140,1,8.13327982896,-21.0660120988,23-24,0.03,0.865644693375,star
142,1,8.1149724815,-21.0641656705,21-22,0.03,0.0286004729569,galaxies
152,1,8.1438175095,-21.0577283197,22-23,0.03,0.0286801625043,galaxies
155,1,8.12519108609,-21.0532741521,21-22,0.03,0.00161364558153,galaxies
160,1,8.22627199443,-21.6292657707,23-24,0.03,0.0155681082979,galaxies
165,1,8.22766583064,-21.6273046888,20-21,0.03,0.0029087101575,galaxies
184,1,8.10970034764,-21.0464920126,18-19,0.03,0.994743108749,star
186,1,8.12683142943,-21.039876524,21-22,0.03,0.0272030662745,galaxies
190,1,8.17183885199,-21.0140731688,22-23,0.03,0.026922840625,galaxies
194,1,8.09548311337,-21.8274442266,21-22,0.03,0.000349502603058,galaxies
201,1,8.11151652785,-21.8126918177,23-24,0.03,0.00857103895396,galaxies
208,1,8.1501760307,-21.8051476561,24-25,0.03,0.0146007006988,galaxies
212,1,8.10219753974,-21.8035800725,19-20,0.03,0.0286212060601,galaxies
213,1,8.10070088023,-21.8021016622,20-21,0.03,0.000535571831279,galaxies
219,1,8.0934819926,-21.7965918682,23-24,0.03,0.904153108597,star
226,1,8.18290732934,-21.7556632424,22-23,0.03,0.000425172474934,galaxies
232,1,8.14938961595,-21.7874068872,23-24,0.03,0.0213590059429,galaxies
244,1,8.06817145025,-21.7915113076,22-23,0.03,0.0268329046667,galaxies
269,1,7.99427090031,-21.1151777017,23-24,0.03,0.0233014319092,galaxies
272,1,8.00489152507,-21.1097125052,24-25,0.03,0.000308948860038,galaxies
274,1,8.07013717452,-21.7441869982,24-25,0.03,0.00053950335132,galaxies
279,1,8.03753658882,-21.105395781,24-25,0.03,0.00023756713199,galaxies
285,1,8.05379877745,-21.09629054,18-19,0.03,0.983758687973,star
290,1,8.04462872597,-21.092870318,21-22,0.03,0.000920255377423,galaxies
291,1,8.05028631375,-21.0913116622,23-24,0.03,0.00905481167138,galaxies
297,1,8.09965427235,-21.7357230653,24-25,0.03,0.00555039849132,galaxies
299,1,8.07718110005,-21.7348523172,23-24,0.03,0.0242253169417,galaxies
301,1,8.05774235062,-21.0855574385,23-24,0.03,0.00976980570704,galaxies
309,1,8.09478058055,-21.0749827948,23-24,0.03,0.959374547005,star
312,1,8.10420056466,-21.7291793576,20-21,0.03,0.987811207771,star
316,1,8.085181913,-21.7261446741,23-24,0.03,0.0220546741039,galaxies
321,1,8.25856214836,-21.7384832667,21-22,0.03,0.0285767670721,galaxies
327,1,8.05800612285,-21.0798160834,20-21,0.03,0.985143184662,star
330,1,8.05382561922,-21.7175679084,24-25,0.03,0.998787105083,star
331,1,8.13346344168,-21.715462677,25-26,0.03,0.000128395360662,galaxies
339,1,8.123266369,-21.7117073574,19-20,0.03,0.984387636185,star
341,1,8.04362247691,-21.7107830511,23-24,0.03,0.997361421585,star
343,1,8.07558213963,-21.7106240988,24-25,0.03,0.981227755547,star
356,1,8.09934826994,-21.7026906111,23-24,0.03,0.024073196575,galaxies
368,1,8.05990709862,-21.6903223263,22-23,0.03,0.0278006773442,galaxies
397,1,7.89202389481,-21.1652825709,23-24,0.03,0.000375102128601,galaxies
421,1,7.96819504598,-21.1231046012,21-22,0.03,0.0285662245005,galaxies
434,1,8.01623460848,-21.8597646269,24-25,0.03,0.0152749679983,galaxies
437,1,8.21227222152,-21.725308256,24-25,0.03,0.0105905421078,galaxies
439,1,8.01089300148,-21.857280328,23-24,0.03,0.0237716548145,galaxies
457,1,8.02775759047,-21.8414703217,19-20,0.03,0.0286273490638,galaxies
462,1,8.03662413821,-21.8363870995,23-24,0.03,0.0255667790771,galaxies
471,1,7.96258458711,-21.1037277665,22-23,0.03,0.98032283783,galaxies
488,1,7.98916214142,-21.8193442175,22-23,0.03,0.0276786033064,galaxies
495,1,8.0094810107,-21.8103825795,23-24,0.03,0.0483251735568,galaxies
497,1,8.0584450129,-21.8027320523,24-25,0.03,0.973548948765,star
500,1,7.93519775575,-21.7984311409,22-23,0.03,0.0255404114723,galaxies
501,1,8.05149603187,-21.7928355681,23-24,0.03,0.0233467724174,galaxies
503,1,7.98888671932,-21.7886127734,21-22,0.03,0.0283192247152,galaxies
506,1,8.00463295107,-21.7832895209,23-24,0.03,0.0229405909777,galaxies
509,1,8.01849246303,-21.7809692087,22-23,0.03,0.0277142897248,galaxies
513,1,7.9938164725,-21.7791175268,24-25,0.03,0.0347953625023,galaxies
515,1,7.92562539466,-21.7767729981,23-24,0.03,0.000459213595605,galaxies
517,1,7.77491620574,-21.2274434374,21-22,0.03,0.0281985569745,galaxies
531,1,7.99327382423,-21.7716472909,25-26,0.03,0.00021457936964,galaxies
541,1,7.94886006335,-21.7689583142,22-23,0.03,0.00106019212399,galaxies
550,1,7.81496297097,-21.1993836882,23-24,0.03,0.025808153674,galaxies
551,1,8.00350512366,-21.7655874961,23-24,0.03,0.00126225850545,galaxies
561,1,7.84870121613,-21.1915851298,18-19,0.03,0.989529311657,star
568,1,7.91877233432,-21.7577704336,23-24,0.03,0.000345249602105,galaxies
570,1,7.95760502874,-21.7573432639,22-23,0.03,0.024618383497,galaxies
575,1,7.9256055962,-21.7542204315,20-21,0.03,0.983411073685,star
580,1,7.9786367848,-21.7498432838,22-23,0.03,0.0272378381342,galaxies
582,1,7.98256292174,-21.7498132646,20-21,0.03,0.0284899361432,galaxies
600,1,8.21979842468,-21.637166453,22-23,0.03,0.00363896251656,galaxies
602,1,8.0021517375,-21.7360077422,22-23,0.03,0.000449924555141,galaxies
607,1,8.01603769027,-21.7338725791,24-25,0.03,0.000297846767353,galaxies
615,1,7.82326194695,-21.1754995078,26-27,0.03,0.0035911903251,galaxies
636,1,7.72319450926,-21.2407955407,24-25,0.03,0.00758705008775,galaxies
639,1,7.73323876265,-21.2378057124,21-22,0.03,0.0148698743433,galaxies
653,1,7.73812238536,-21.2221932496,22-23,0.03,0.000390868430259,galaxies
658,1,7.73310683967,-21.2043166963,22-23,0.03,0.027834944427,galaxies
660,1,8.29556644753,-21.1438091114,22-23,0.03,0.0265464261174,galaxies
674,1,8.30892230773,-21.1264490915,22-23,0.03,0.0277379732579,galaxies
702,1,8.30146245177,-21.1188098913,19-20,0.03,0.0286238081753,galaxies
718,1,8.28948538263,-21.0596783992,24-25,0.03,0.00345813645981,galaxies
719,1,8.27970552024,-21.0566285827,22-23,0.03,0.00743675185367,galaxies
720,1,8.27772549747,-21.0545527419,22-23,0.03,0.0154754538089,galaxies
724,1,8.32242073656,-21.0517457455,23-24,0.03,0.0244978703558,galaxies
726,1,8.26183890174,-21.0501937467,24-25,0.03,0.998721778393,star
732,1,8.25648020872,-21.0454245439,19-20,0.03,0.983486175537,star
733,1,8.24682417194,-21.0451175234,23-24,0.03,0.0124806053936,galaxies
736,1,8.31578427322,-21.0402043589,24-25,0.03,0.0203907098621,galaxies
742,1,8.26252036462,-21.03668055,23-24,0.03,0.00971548911184,galaxies
743,1,8.26409787012,-21.0360526194,22-23,0.03,0.0279388353229,galaxies
747,1,8.22233362535,-21.6373342253,20-21,0.03,0.0286251977086,galaxies
751,1,8.28507725969,-21.0309133806,20-21,0.03,0.00177716789767,galaxies
753,1,8.29192721829,-21.03063546,23-24,0.03,0.000433930574218,galaxies
757,1,8.29318941818,-21.0292111444,23-24,0.03,0.0183088742197,galaxies
758,1,8.26738572006,-21.0285981319,21-22,0.03,0.0280531868339,galaxies
759,1,8.29547190107,-21.0279446907,22-23,0.03,0.0281613785774,galaxies
762,1,8.28446796816,-21.0223917577,24-25,0.03,0.00018248379638,galaxies
765,1,8.29365717232,-21.0206394788,21-22,0.03,0.000484172895085,galaxies
767,1,8.29696575552,-21.0198497553,22-23,0.03,0.0244181212038,galaxies
771,1,8.2902579285,-21.0165311326,23-24,0.03,0.000548820244148,galaxies
772,1,8.30411355636,-21.0123471497,23-24,0.03,0.000442774617113,galaxies
782,1,8.19085143144,-21.1771088154,23-24,0.03,0.0228056721389,galaxies
788,1,8.21479360077,-21.1712862071,21-22,0.03,0.0283863916993,galaxies
789,1,8.1645763283,-21.1704221911,22-23,0.03,0.0276286415756,galaxies
790,1,8.20287194813,-21.1679805019,21-22,0.03,0.984879791737,star
793,1,8.22135284432,-21.1658564601,22-23,0.03,0.988323271275,star
794,1,8.23492802951,-21.1654146609,23-24,0.03,0.90924924612,star
797,1,8.22799465299,-21.161492812,24-25,0.03,0.000332814262947,galaxies
803,1,8.2351791668,-21.1511648899,23-24,0.03,0.9861972332,star
804,1,8.23412847418,-21.1498613457,19-20,0.03,0.0286260917783,galaxies
811,1,8.25092428848,-21.1398164022,22-23,0.03,0.988634228706,star
819,1,8.15780739494,-21.1253905841,23-24,0.03,0.000413311208831,galaxies
825,1,8.19479660537,-21.1140799908,23-24,0.03,0.0220615584403,galaxies
828,1,8.16311067662,-21.1100158648,22-23,0.03,0.988859117031,star
834,1,8.16801414168,-21.107198707,22-23,0.03,0.000703041034285,galaxies
841,1,8.17387670261,-21.1002338033,22-23,0.03,0.997862935066,star
843,1,8.20458799752,-21.0984826909,19-20,0.03,0.0286153685302,galaxies
856,1,8.1418874495,-21.0821148323,21-22,0.03,0.999906480312,star
860,1,8.15741056548,-21.0799564706,23-24,0.03,0.000358510034857,galaxies
866,1,8.19497073744,-21.0753469405,20-21,0.03,0.00855632591993,galaxies
867,1,8.16505409863,-21.0718248173,23-24,0.03,0.000443494180217,galaxies
868,1,8.18081281347,-21.0714431782,24-25,0.03,0.00140019448008,galaxies
871,1,8.17552386071,-21.070480422,23-24,0.03,0.000290157826385,galaxies
876,1,8.19925769539,-21.0661352362,23-24,0.03,0.0201604869217,galaxies
882,1,8.16742363293,-21.0581327262,23-24,0.03,0.000321207335219,galaxies
883,1,8.22900754,-21.0536836502,21-22,0.03,0.99990606308,star
889,1,8.06844635,-21.2429376236,19-20,0.03,0.985936582088,star
891,1,8.07844366069,-21.2382818064,23-24,0.03,0.0263923704624,galaxies
895,1,8.07491731878,-21.2322644636,23-24,0.03,0.00256038806401,galaxies
903,1,8.08248680288,-21.2265730924,23-24,0.03,0.000379156175768,galaxies
909,1,8.08488942272,-21.2190720969,23-24,0.03,0.000658872362692,galaxies
915,1,8.10816854317,-21.2079414068,22-23,0.03,0.00206996849738,galaxies
920,1,8.06694658797,-21.2191510325,23-24,0.03,0.0246778037399,galaxies
922,1,8.06139133104,-21.2063973804,20-21,0.03,0.0286726690829,galaxies
925,1,8.08519981762,-21.1976742302,23-24,0.03,0.000486393546453,galaxies
929,1,8.04120792499,-21.184535021,23-24,0.03,0.0256778970361,galaxies
931,1,8.0612565648,-21.179350592,20-21,0.03,0.0285566225648,galaxies
933,1,8.12893605435,-21.1750650102,24-25,0.03,0.950982868671,star
936,1,8.15040174113,-21.1669643491,22-23,0.03,0.0261310320348,galaxies
938,1,8.04742080415,-21.1659013413,23-24,0.03,0.0150141716003,galaxies
939,1,8.05646190004,-21.1658287771,22-23,0.03,0.0284353978932,galaxies
950,1,8.05029447947,-21.1570699466,24-25,0.03,0.00972529035062,galaxies
957,1,8.10261612715,-21.1489011055,19-20,0.03,0.0291703343391,galaxies
960,1,8.12075252679,-21.1479443712,23-24,0.03,0.0209998320788,galaxies
966,1,8.08674553483,-21.1441812588,24-25,0.03,0.000250061566476,galaxies
967,1,8.11290245534,-21.1437662829,24-25,0.03,0.0163390915841,galaxies
976,1,8.0912184722,-21.1381830143,21-22,0.03,0.000576012476813,galaxies
978,1,8.1165854515,-21.1366619791,23-24,0.03,0.982475996017,star
989,1,8.0577078207,-21.1235409863,23-24,0.03,0.000295319303405,galaxies
993,1,8.10427883529,-21.1178598563,23-24,0.03,0.00523226661608,galaxies
995,1,8.12865746381,-21.1120016428,23-24,0.03,0.00252126134001,galaxies
1002,1,8.12224735278,-21.0999960795,20-21,0.03,0.983240783215,star
1006,1,7.96059012217,-21.2824850561,23-24,0.03,0.000369069777662,galaxies
1008,1,7.96779382044,-21.2815991504,24-25,0.03,0.00560851581395,galaxies
1010,1,7.97628340969,-21.2761091971,18-19,0.03,0.999878585339,star
1012,1,7.95635603488,-21.2752700019,22-23,0.03,0.000401897472329,galaxies
1014,1,7.99149683966,-21.269630058,21-22,0.03,0.0285678394139,galaxies
1015,1,7.97747536736,-21.2686452146,23-24,0.03,0.0197482351214,galaxies
1016,1,8.01421412431,-21.2632206502,23-24,0.03,0.950675606728,star
1017,1,8.01682886523,-21.2629226172,23-24,0.03,0.829944550991,star
1021,1,8.00409926322,-21.2587733212,22-23,0.03,0.0279337931424,galaxies
1024,1,8.01339421588,-21.2559616902,21-22,0.03,0.0283629447222,galaxies
1025,1,7.99783112907,-21.2558454446,21-22,0.03,0.999921679497,star
1033,1,8.04938391467,-21.2426612608,23-24,0.03,0.00476355385035,galaxies
1034,1,8.04812026705,-21.242554501,23-24,0.03,0.0247949808836,galaxies
1037,1,8.04371555161,-21.2370146236,22-23,0.03,0.966268897057,star
1038,1,7.9046625731,-21.2115652909,21-22,0.03,0.0559510737658,galaxies
1044,1,7.98591245086,-21.2598505044,23-24,0.03,0.0191682484001,galaxies
1048,1,7.93194230398,-21.2278089937,23-24,0.03,0.975590586662,star
1052,1,7.92719947534,-21.2239185781,25-26,0.03,0.00654177274555,galaxies
1053,1,7.95673186267,-21.2229337478,23-24,0.03,0.915755391121,star
1054,1,7.93580194104,-21.2226392971,21-22,0.03,0.000908808549866,galaxies
1057,1,7.94685912734,-21.2124525928,20-21,0.03,0.998121976852,star
1061,1,7.93780079937,-21.2041867589,21-22,0.03,0.0286016911268,galaxies
1062,1,7.98070976983,-21.2039420754,19-20,0.03,0.0286541059613,galaxies
1063,1,7.90791105265,-21.2037525899,22-23,0.03,0.988359034061,star
1066,1,7.97731386787,-21.2035253432,23-24,0.03,0.0141133256257,galaxies
1070,1,7.96126163767,-21.2014794219,24-25,0.03,0.999524652958,star
1072,1,7.94557894531,-21.2002377979,21-22,0.03,0.986269295216,star
1073,1,7.9054460596,-21.1985791032,23-24,0.03,0.0164806414396,galaxies
1077,1,7.98272196804,-21.1967347518,23-24,0.03,0.0171781796962,galaxies
1079,1,7.96876859522,-21.1964970673,24-25,0.03,0.000217965731281,galaxies
1089,1,7.97824550494,-21.1903566166,22-23,0.03,0.000505276664626,galaxies
1093,1,8.00357557986,-21.1871458986,23-24,0.03,0.0243352539837,galaxies
1097,1,7.94124749326,-21.184787208,23-24,0.03,0.9692081213,star
1104,1,7.95494522378,-21.176650411,22-23,0.03,0.964782714844,star
1106,1,7.9599168091,-21.1758776709,20-21,0.03,0.986020624638,star
1111,1,7.9406617416,-21.174881135,23-24,0.03,0.000314639735734,galaxies
1113,1,7.95792080649,-21.1726174623,24-25,0.03,0.000189611062524,galaxies
1116,1,7.95934214061,-21.1712820636,23-24,0.03,0.98050057888,star
1120,1,7.94582751001,-21.1686496431,23-24,0.03,0.0378554612398,galaxies
1123,1,7.95254967166,-21.1669729697,23-24,0.03,0.00844138860703,galaxies
1124,1,7.95620562293,-21.1638127921,23-24,0.03,0.000329958304064,galaxies
1127,1,7.98466114836,-21.1630064943,24-25,0.03,0.000130669242935,galaxies
1131,1,7.98189575998,-21.1597762261,20-21,0.03,0.0286308079958,galaxies
1132,1,7.99979970803,-21.1596928454,22-23,0.03,0.0215748138726,galaxies
1135,1,7.95825087651,-21.1512189138,23-24,0.03,0.0206684488803,galaxies
1143,1,7.8734394094,-21.321310973,24-25,0.03,0.000110947607027,galaxies
1157,1,7.93193881878,-21.2993083922,25-26,0.03,0.000115480586828,galaxies
1161,1,7.80941329593,-21.2866911837,21-22,0.03,0.000946454238147,galaxies
1179,1,7.80917494524,-21.2755223025,23-24,0.03,0.0181692875922,galaxies
1183,1,7.84654009677,-21.2704300781,23-24,0.03,0.0176876168698,galaxies
1186,1,7.83007949356,-21.2673287485,18-19,0.03,0.983198344707,star
1188,1,7.79893112338,-21.2637021556,23-24,0.03,0.0246840305626,galaxies
1193,1,7.84263953683,-21.2608100616,23-24,0.03,0.981264829636,star
1195,1,7.85874908411,-21.257224967,19-20,0.03,0.0286360606551,galaxies
1201,1,7.79365617858,-21.2511321949,25-26,0.03,0.000159208153491,galaxies
1203,1,7.89649479885,-21.2502637152,21-22,0.03,0.999912381172,star
1209,1,7.86044278954,-21.2461093728,23-24,0.03,0.000317191937938,galaxies
1210,1,7.877794221,-21.2446872945,24-25,0.03,0.200191304088,galaxies
1211,1,7.87527627855,-21.2440386276,19-20,0.03,0.0286252163351,galaxies
1212,1,7.87093259458,-21.2440033704,22-23,0.03,0.0279516465962,galaxies
1214,1,7.85943097285,-21.2436838233,23-24,0.03,0.00497232656926,galaxies
1216,1,7.87539517703,-21.2423358222,24-25,0.03,0.00929840840399,galaxies
1221,1,7.79751526322,-21.2375553597,21-22,0.03,0.992901921272,star
1223,1,7.80018457926,-21.2372858376,22-23,0.03,0.0229729153216,galaxies
1224,1,7.87660439744,-21.2373755215,25-26,0.03,0.00523946480826,galaxies
1225,1,7.87394686052,-21.2373402375,23-24,0.03,0.0228538382798,galaxies
1231,1,7.87745610488,-21.2352923121,22-23,0.03,0.054433491081,galaxies
1240,1,7.84978204977,-21.2297774582,23-24,0.03,0.0263231173158,galaxies
1242,1,7.88595152835,-21.2285509664,23-24,0.03,0.0192201193422,galaxies
1248,1,7.86473299831,-21.2219997355,23-24,0.03,0.0119588794187,galaxies
1250,1,7.90287553705,-21.221381177,22-23,0.03,0.999249517918,star
1253,1,7.87810059769,-21.2155680575,23-24,0.03,0.0232649426907,galaxies
1256,1,7.85426489977,-21.2133839053,23-24,0.03,0.0377275794744,galaxies
1257,1,7.84104292688,-21.2114757154,22-23,0.03,0.0011706170626,galaxies
1259,1,7.86552590776,-21.2057077373,22-23,0.03,0.0283078979701,galaxies
1263,1,7.73001337973,-21.4070246773,24-25,0.03,0.949544847012,star
1265,1,7.73046181444,-21.3903483177,18-19,0.03,0.980943977833,star
1271,1,7.72983369235,-21.3826299385,23-24,0.03,0.000466311757918,galaxies
1283,1,7.75270662483,-21.3714245102,20-21,0.03,0.991106748581,star
1288,1,7.70853707099,-21.3708063393,22-23,0.03,0.990831136703,star
1299,1,7.75768383244,-21.3635210992,20-21,0.03,0.028637977317,galaxies
1311,1,7.8221766538,-21.3398526444,23-24,0.03,0.000346448476193,galaxies
1316,1,7.71523282335,-21.3576970602,22-23,0.03,0.0273523908108,galaxies
1317,1,7.76608835467,-21.3560510432,22-23,0.03,0.998681247234,star
1331,1,7.75876129748,-21.3159869106,22-23,0.03,0.998091757298,star
