,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
6476,1,8.19999173481,-21.5152038522,26-27,30.0,0.00349961663596,SSO
6477,1,8.19999173481,-21.5152038522,26-27,30.0,0.00349961663596,SSO
16134,2,8.12088219235,-21.5838001679,25-26,30.0,0.000143104829476,SSO
16135,2,8.12088219235,-21.5838001679,25-26,30.0,0.000143104829476,SSO
23262,3,8.34265564398,-21.4186853049,26-27,30.0,0.719819366932,SSO
23263,3,8.34265564398,-21.4186853049,26-27,30.0,0.719819366932,SSO
25326,3,8.20031046324,-21.5126467993,26-27,30.0,0.00349961663596,SSO
25327,3,8.20031046324,-21.5126467993,26-27,30.0,0.00349961663596,SSO
