,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
12,1,8.26832559212,-21.006722311,23-24,0.03,0.0214543305337,galaxies
13,1,8.26832559212,-21.006722311,23-24,0.03,0.0214543305337,galaxies
22,1,8.28459935646,-21.0039345557,17-18,0.03,0.0286359842867,galaxies
23,1,8.28459935646,-21.0039345557,17-18,0.03,0.0286359842867,galaxies
34,1,8.27647337087,-20.9984713126,23-24,0.03,0.0239059962332,galaxies
35,1,8.27647337087,-20.9984713126,23-24,0.03,0.0239059962332,galaxies
38,1,8.29440662511,-20.9962858152,20-21,0.03,0.0286305565387,galaxies
39,1,8.29440662511,-20.9962858152,20-21,0.03,0.0286305565387,galaxies
42,1,8.29625387414,-20.9942317141,22-23,0.03,0.999907195568,star
43,1,8.29625387414,-20.9942317141,22-23,0.03,0.999907195568,star
44,1,8.27655678355,-20.9921374403,19-20,0.03,0.0286141913384,galaxies
45,1,8.27655678355,-20.9921374403,19-20,0.03,0.0286141913384,galaxies
46,1,8.30039634651,-20.9917576036,23-24,0.03,0.990167558193,star
47,1,8.30039634651,-20.9917576036,23-24,0.03,0.990167558193,star
60,1,8.21130464894,-21.7741959683,18-19,0.03,0.987796068192,star
61,1,8.21130464894,-21.7741959683,18-19,0.03,0.987796068192,star
66,1,8.20549335386,-21.7698673573,21-22,0.03,0.0284869391471,galaxies
67,1,8.20549335386,-21.7698673573,21-22,0.03,0.0284869391471,galaxies
92,1,8.19641607348,-21.7618655591,24-25,0.03,0.000471647130325,galaxies
93,1,8.19641607348,-21.7618655591,24-25,0.03,0.000471647130325,galaxies
102,1,8.27898332331,-20.9753558122,22-23,0.03,0.989229798317,star
103,1,8.27898332331,-20.9753558122,22-23,0.03,0.989229798317,star
140,1,8.22276893187,-21.7410241291,23-24,0.03,0.0149704022333,galaxies
141,1,8.22276893187,-21.7410241291,23-24,0.03,0.0149704022333,galaxies
146,1,8.23907166108,-21.7357087882,24-25,0.03,0.000280232954537,galaxies
147,1,8.23907166108,-21.7357087882,24-25,0.03,0.000280232954537,galaxies
150,1,8.26907720857,-21.7298201145,19-20,0.03,0.0286709815264,galaxies
151,1,8.26907720857,-21.7298201145,19-20,0.03,0.0286709815264,galaxies
152,1,8.27105020976,-21.729028527,20-21,0.03,0.0262948796153,galaxies
153,1,8.27105020976,-21.729028527,20-21,0.03,0.0262948796153,galaxies
160,1,8.22343843284,-21.7276565717,20-21,0.03,0.997957766056,star
161,1,8.22343843284,-21.7276565717,20-21,0.03,0.997957766056,star
162,1,8.22677815258,-21.7275814547,23-24,0.03,0.926958501339,star
163,1,8.22677815258,-21.7275814547,23-24,0.03,0.926958501339,star
